model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-2.6699145449794828,-2.6699145449794828,0.974456787109375,0.022306203842163086,0.7807228565216064,6
DirectTabular,-2.275207740961731,-2.275207740961731,0.021852970123291016,0.01485896110534668,0.2829723358154297,3
RecursiveTabular,-1.1033862883544088,-1.1033862883544088,0.023997068405151367,0.018278121948242188,0.3476290702819824,2
Theta,-0.9106675496441198,-0.9106675496441198,0.025753259658813477,0.01441502571105957,0.0033788681030273438,5
TemporalFusionTransformer,-0.6956913344869516,-0.6956913344869516,0.020839929580688477,0.013810873031616211,36.282602071762085,7
SeasonalNaive,-0.6164804331004036,-0.6164804331004036,0.013175725936889648,0.01165008544921875,0.0037970542907714844,1
ETS,-0.6164229152274674,-0.6164229152274674,0.01476907730102539,0.013399124145507812,0.003513813018798828,4
WeightedEnsemble,-0.29716071755629964,-0.29716071755629964,0.03603100776672363,0.027691622177371755,0.0765109579951968,8
