model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.7372255552526843,-2.7372255552526843,0.017544984817504883,0.015275001525878906,0.3968069553375244,3
Chronos2,-1.5614932733156235,-1.5614932733156235,0.7917230129241943,0.022730350494384766,0.7639355659484863,6
TemporalFusionTransformer,-0.559608596491985,-0.559608596491985,0.019691944122314453,0.010699987411499023,42.292354106903076,7
ETS,-0.5436309222429553,-0.5436309222429553,0.027276039123535156,0.014362096786499023,0.0034749507904052734,4
SeasonalNaive,-0.5435730279481287,-0.5435730279481287,0.014240026473999023,0.012295246124267578,0.003206014633178711,1
Theta,-0.5153966508889725,-0.5153966508889725,0.026673078536987305,0.012396097183227539,0.0034339427947998047,5
RecursiveTabular,-0.3007740427778697,-0.3007740427778697,0.020429134368896484,0.019425153732299805,0.3980557918548584,2
WeightedEnsemble,-0.2485878108532483,-0.2485878108532483,0.9043111801147461,0.09603389611584134,0.08137662499211729,8
