model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.136574690663643,-2.136574690663643,0.016822099685668945,0.014568090438842773,0.2938499450683594,3
RecursiveTabular,-0.7647077035747831,-0.7647077035747831,0.011436939239501953,0.012115955352783203,0.7468578815460205,2
TemporalFusionTransformer,-0.6932776529705081,-0.6932776529705081,0.019169092178344727,0.011099100112915039,34.11474895477295,7
Chronos2,-0.5889137960891743,-0.5889137960891743,0.8361778259277344,0.02679300308227539,0.7440087795257568,6
Theta,-0.5731880102710778,-0.5731880102710778,0.026641130447387695,0.014520883560180664,0.0036611557006835938,5
ETS,-0.5148324209434614,-0.5148324209434614,0.014628171920776367,0.04032492637634277,0.0037689208984375,4
SeasonalNaive,-0.5147854315842378,-0.5147854315842378,0.014130830764770508,0.012691974639892578,0.0033960342407226562,1
WeightedEnsemble,-0.5042208921230754,-0.5042208921230754,0.04108786582946777,0.027572066202992573,0.07439766600145958,8
