model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-5.170869141762368,-5.170869141762368,0.041697025299072266,0.018475055694580078,0.32987475395202637,3
TemporalFusionTransformer,-1.454231191740696,-1.454231191740696,0.02073192596435547,0.025944232940673828,52.094701528549194,7
ETS,-0.9013865244340724,-0.9013865244340724,0.2900831699371338,0.061444759368896484,0.0050013065338134766,4
SeasonalNaive,-0.8424731801721282,-0.8424731801721282,0.057691097259521484,0.045838117599487305,0.007864952087402344,1
Theta,-0.7980464010809233,-0.7980464010809233,0.038172245025634766,0.038194894790649414,0.0044040679931640625,5
Chronos2,-0.7682862828038007,-0.7682862828038007,1.0631959438323975,0.05597400665283203,0.7060151100158691,6
WeightedEnsemble,-0.5986742569477084,-0.5986742569477084,0.01876091957092285,0.022738996689440683,0.08264604199212044,8
RecursiveTabular,-0.5986742569477084,-0.5986742569477084,0.018576860427856445,0.022578954696655273,3.0938689708709717,2
