model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
RecursiveTabular,-1.7558264746377057,-1.7558264746377057,0.010537862777709961,0.009784698486328125,0.3994104862213135,2
SeasonalNaive,-1.7531709358541365,-1.7531709358541365,0.014055967330932617,0.013764142990112305,0.003538846969604492,1
DirectTabular,-1.7419245484262216,-1.7419245484262216,0.016546010971069336,0.014905929565429688,0.31301116943359375,3
Theta,-1.6385659313698477,-1.6385659313698477,0.02753305435180664,0.02551889419555664,0.0033659934997558594,5
ETS,-1.5814650791266507,-1.5814650791266507,0.013032913208007812,0.014361143112182617,0.003404855728149414,4
Chronos2,-1.5085643106441111,-1.5085643106441111,0.9193568229675293,0.02269721031188965,0.809525728225708,6
WeightedEnsemble,-0.7606969588602306,-0.7606969588602306,0.019530057907104492,0.02200387994525954,0.08579204199486412,8
TemporalFusionTransformer,-0.7606969588602306,-0.7606969588602306,0.01939105987548828,0.021860837936401367,51.73661708831787,7
