model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.8986828185228632,-2.8986828185228632,0.035506248474121094,0.016275882720947266,0.3007822036743164,3
RecursiveTabular,-2.270007950687246,-2.270007950687246,0.018891096115112305,0.017066001892089844,0.4254000186920166,2
SeasonalNaive,-2.177429391008442,-2.177429391008442,0.025510072708129883,0.014727115631103516,0.004397869110107422,1
ETS,-2.177429391008442,-2.177429391008442,0.04921913146972656,0.03978419303894043,0.00379180908203125,4
Theta,-1.830475767400704,-1.830475767400704,0.03819108009338379,0.02756023406982422,0.0039937496185302734,5
TemporalFusionTransformer,-1.4243710530371774,-1.4243710530371774,0.022561073303222656,0.03437185287475586,35.44884014129639,7
WeightedEnsemble,-0.638046295630854,-0.638046295630854,1.490509033203125,0.0983092566311825,0.0846324170124717,8
Chronos2,-0.638046295630854,-0.638046295630854,1.4902379512786865,0.09813904762268066,0.8380861282348633,6
