model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
RecursiveTabular,-3.172620620627714,-3.172620620627714,0.020898818969726562,0.019707918167114258,0.3348731994628906,2
DirectTabular,-2.5103341390955958,-2.5103341390955958,0.017431020736694336,0.014746904373168945,0.28284311294555664,3
Chronos2,-1.9979684187317872,-1.9979684187317872,0.7793700695037842,0.02358412742614746,0.7765688896179199,6
Theta,-1.3993034971978953,-1.3993034971978953,0.017776012420654297,0.016895771026611328,0.0034101009368896484,5
SeasonalNaive,-1.1031725597312836,-1.1031725597312836,0.012550115585327148,0.011631011962890625,0.003058195114135742,1
ETS,-1.1030604285366845,-1.1030604285366845,0.016437768936157227,0.032052040100097656,0.0035088062286376953,4
TemporalFusionTransformer,-0.6858905253086283,-0.6858905253086283,0.019283294677734375,0.0064449310302734375,37.534011125564575,7
WeightedEnsemble,-0.4076760511440506,-0.4076760511440506,0.8542351722717285,0.09751871309708804,0.0770272079971619,8
