model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
RecursiveTabular,-3.0109861641430897,-3.0109861641430897,0.014717817306518555,0.012567996978759766,0.6421358585357666,2
Theta,-2.821680945830196,-2.821680945830196,0.0176241397857666,0.0167849063873291,0.003329038619995117,5
ETS,-2.48397309066438,-2.48397309066438,0.017081737518310547,0.01687908172607422,0.0034749507904052734,4
SeasonalNaive,-2.483893833223408,-2.483893833223408,0.016631126403808594,0.016444921493530273,0.0031337738037109375,1
Chronos2,-1.4812123991889108,-1.4812123991889108,0.7696709632873535,0.025597095489501953,0.7282369136810303,6
TemporalFusionTransformer,-1.1210553579548712,-1.1210553579548712,0.018661022186279297,0.007901191711425781,30.497512817382812,7
DirectTabular,-0.9410738589548919,-0.9410738589548919,0.018736839294433594,0.01470184326171875,0.9986181259155273,3
WeightedEnsemble,-0.5517794566506686,-0.5517794566506686,0.055509090423583984,0.03994406634592451,0.07415800000308082,8
