model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.174606752922498,-2.174606752922498,0.017573833465576172,0.015286922454833984,0.28168821334838867,3
Theta,-0.9120746621639992,-0.9120746621639992,0.026846885681152344,0.014312982559204102,0.0034470558166503906,5
SeasonalNaive,-0.7066062491535449,-0.7066062491535449,0.014350175857543945,0.013743877410888672,0.0030870437622070312,1
ETS,-0.7065321892845647,-0.7065321892845647,0.025060176849365234,0.02663397789001465,0.0037479400634765625,4
Chronos2,-0.666903398246701,-0.666903398246701,0.7840001583099365,0.023341655731201172,0.7744221687316895,6
RecursiveTabular,-0.6227244333850169,-0.6227244333850169,0.013939857482910156,0.012264251708984375,0.4262425899505615,2
TemporalFusionTransformer,-0.4115986762318622,-0.4115986762318622,0.022407054901123047,0.011617898941040039,33.236844301223755,7
WeightedEnsemble,-0.3304676316747746,-0.3304676316747746,0.8209362030029297,0.047769306373083964,0.0744135830027517,8
