Date,lyondbsl
11/5/2020,53.64414978
11/6/2020,52.53092575
11/9/2020,57.38861084
11/10/2020,58.81990433
11/11/2020,55.77661133
11/12/2020,53.7381134
11/13/2020,55.40071106
11/16/2020,57.59101105
11/17/2020,58.57410812
11/18/2020,59.41987228
11/19/2020,59.44155884
11/20/2020,59.02228546
11/23/2020,61.56679535
11/24/2020,65.67269897
11/25/2020,64.57391357
11/27/2020,64.266716
11/30/2020,62.24786758
12/1/2020,62.73062897
12/2/2020,62.84766769
12/3/2020,62.63554001
12/4/2020,65.29077148
12/7/2020,63.71810532
12/8/2020,64.28865051
12/9/2020,64.76411438
12/10/2020,64.52272797
12/11/2020,64.73484802
12/14/2020,63.71081924
12/15/2020,65.10791779
12/16/2020,65.15910339
12/17/2020,65.90518951
12/18/2020,66.51231384
12/21/2020,66.11732483
12/22/2020,65.69308472
12/23/2020,66.29286194
12/24/2020,66.27825165
12/28/2020,66.27092743
12/29/2020,65.458992
12/30/2020,66.61473083
12/31/2020,67.0463028
1/4/2021,65.31272888
1/5/2021,67.54367828
1/6/2021,70.78406525
1/7/2021,71.29612732
1/8/2021,70.76944733
1/11/2021,70.93769836
1/12/2021,72.56884766
1/13/2021,71.05474854
1/14/2021,72.32015991
1/15/2021,69.42355347
1/19/2021,68.62624359
1/20/2021,69.03588867
1/21/2021,67.74850464
1/22/2021,66.91462708
1/25/2021,65.81742859
1/26/2021,64.28865051
1/27/2021,62.95006943
1/28/2021,63.82051849
1/29/2021,62.73062897
2/1/2021,63.45476532
2/2/2021,64.98355103
2/3/2021,65.26881409
2/4/2021,66.49037933
2/5/2021,68.21662903
2/8/2021,69.86975861
2/9/2021,69.27726746
2/10/2021,69.83318329
2/11/2021,69.35773468
2/12/2021,70.32326508
2/16/2021,71.6764679
2/17/2021,71.54482269
2/18/2021,69.43086243
2/19/2021,73.30764771
2/22/2021,75.28260803
2/23/2021,75.34112549
2/24/2021,78.5083847
2/25/2021,76.37250519
2/26/2021,75.40695953
3/1/2021,77.78422546
3/2/2021,78.92532349
3/3/2021,78.85948944
3/4/2021,77.65986633
3/5/2021,79.70626068
3/8/2021,80.34902954
3/9/2021,79.17436218
3/10/2021,80.45243073
3/11/2021,80.89570618
3/12/2021,80.32684326
3/15/2021,79.51418304
3/16/2021,77.83718109
3/17/2021,80.31947327
3/18/2021,79.86141968
3/19/2021,78.87886047
3/22/2021,78.31001282
3/23/2021,74.06945801
3/24/2021,75.45095062
3/25/2021,77.31266785
3/26/2021,77.99232483
3/29/2021,77.00237274
3/30/2021,77.59337616
3/31/2021,76.86940002
4/1/2021,77.97755432
4/5/2021,76.98758698
4/6/2021,77.41609192
4/7/2021,76.53694153
4/8/2021,76.09367371
4/9/2021,76.89154053
4/12/2021,77.84456635
4/13/2021,77.25356293
4/14/2021,79.00444031
4/15/2021,79.12264252
4/16/2021,79.45510101
4/19/2021,79.19652557
4/20/2021,77.30527496
4/21/2021,79.87619781
4/22/2021,75.35490417
4/23/2021,77.13535309
4/26/2021,77.52690125
4/27/2021,77.5047226
4/28/2021,78.57596588
4/29/2021,79.41078186
4/30/2021,76.64035797
5/3/2021,79.69151306
5/4/2021,80.75533295
5/5/2021,82.77219391
5/6/2021,84.31622314
5/7/2021,84.26451111
5/10/2021,83.80648804
5/11/2021,83.13419342
5/12/2021,81.3094101
5/13/2021,81.66401672
5/14/2021,84.27188873
5/17/2021,85.31358337
5/18/2021,83.70304871
5/19/2021,81.53845215
5/20/2021,81.11734772
5/21/2021,81.63447571
5/24/2021,82.4471283
5/25/2021,81.18383026
5/26/2021,81.95954895
5/27/2021,83.89512634
5/28/2021,83.20067596
6/1/2021,86.34047699
6/2/2021,85.6016922
6/3/2021,87.07185364
6/4/2021,86.67649841
6/7/2021,84.03592682
6/8/2021,84.8564682
6/9/2021,83.58092499
6/10/2021,82.34268188
6/11/2021,82.10397339
6/14/2021,80.94780731
6/15/2021,81.15666962
6/16/2021,79.81400299
6/17/2021,76.39766693
6/18/2021,74.85359192
6/21/2021,76.68112183
6/22/2021,76.80793762
6/23/2021,77.08393097
6/24/2021,76.43495941
6/25/2021,76.02471161
6/28/2021,75.85314178
6/29/2021,76.27085876
6/30/2021,76.7333374
7/1/2021,77.16596222
7/2/2021,77.28530121
7/6/2021,74.65964508
7/7/2021,74.89089203
7/8/2021,73.85404968
7/9/2021,76.62889099
7/12/2021,76.27085876
7/13/2021,76.10675049
7/14/2021,75.6517334
7/15/2021,75.33843231
7/16/2021,71.71324921
7/19/2021,68.84143829
7/20/2021,70.86288452
7/21/2021,72.41443634
7/22/2021,71.60882568
7/23/2021,72.04891968
7/26/2021,73.51094055
7/27/2021,73.87644196
7/28/2021,73.8167572
7/29/2021,74.98786163
7/30/2021,74.09275818
8/2/2021,73.77202606
8/3/2021,74.74170685
8/4/2021,72.35475922
8/5/2021,72.1085968
8/6/2021,74.18225861
8/9/2021,74.32398224
8/10/2021,77.32261658
8/11/2021,79.02333069
8/12/2021,78.32214355
8/13/2021,78.37435913
8/16/2021,77.14360809
8/17/2021,75.9202652
8/18/2021,74.77901459
8/19/2021,72.55612946
8/20/2021,73.25732422
8/23/2021,74.6223526
8/24/2021,76.4648056
8/25/2021,76.81539154
8/26/2021,75.48018646
8/27/2021,77.60743713
8/30/2021,76.89835358
8/31/2021,75.69892883
9/1/2021,73.77533722
9/2/2021,73.39061737
9/3/2021,72.2138443
9/7/2021,71.39160919
9/8/2021,69.73204803
9/9/2021,69.0908432
9/10/2021,70.05641174
9/13/2021,71.2256546
9/14/2021,70.78059387
9/15/2021,71.50476837
9/16/2021,70.81076813
9/17/2021,69.51328278
9/20/2021,67.83107758
9/21/2021,67.81599426
