Date,covestro
11/4/2020,38.30623245
11/5/2020,38.41479874
11/6/2020,38.04385757
11/9/2020,40.00712204
11/10/2020,40.59519196
11/11/2020,40.54091263
11/12/2020,39.85331726
11/13/2020,39.75379562
11/16/2020,41.88895798
11/17/2020,41.61753845
11/18/2020,41.97943115
11/19/2020,41.78943634
11/20/2020,41.41849518
11/23/2020,41.82562637
11/24/2020,42.63988495
11/25/2020,42.49512863
11/26/2020,41.96133804
11/27/2020,42.92939758
11/30/2020,42.29608536
12/1/2020,43.08319855
12/2/2020,42.52226639
12/3/2020,41.49087524
12/4/2020,41.47278214
12/7/2020,42.68511963
12/8/2020,42.93844223
12/9/2020,45.07360077
12/10/2020,45.10074615
12/11/2020,44.31363297
12/14/2020,45.72500992
12/15/2020,46.35831833
12/16/2020,45.52597046
12/17/2020,45.77929306
12/18/2020,45.96023941
12/21/2020,44.9017067
12/22/2020,45.1550293
12/23/2020,45.56216049
12/28/2020,45.61643982
12/29/2020,45.88786316
12/30/2020,45.67072678
1/4/2021,46.77449799
1/5/2021,46.39450455
1/6/2021,47.67922211
1/7/2021,49.03631592
1/8/2021,49.01822281
1/11/2021,48.62014389
1/12/2021,49.81438446
1/13/2021,49.76010132
1/14/2021,49.81438446
1/15/2021,48.71061325
1/18/2021,49.79629135
1/19/2021,49.66962814
1/20/2021,51.37051773
1/21/2021,51.09909821
1/22/2021,50.44769287
1/25/2021,50.08580399
1/26/2021,51.29814148
1/27/2021,49.57915497
1/28/2021,50.21246338
1/29/2021,50.80958557
2/1/2021,52.40190887
2/2/2021,52.63713837
2/3/2021,53.28854752
2/4/2021,53.37901688
2/5/2021,52.83617783
2/8/2021,53.70471954
2/9/2021,52.83617783
2/10/2021,53.25235748
2/11/2021,53.30663681
2/12/2021,52.99903107
2/15/2021,53.48758316
2/16/2021,53.63233948
2/17/2021,53.34282684
2/18/2021,52.45619202
2/19/2021,53.07141113
2/22/2021,54.37421799
2/23/2021,54.39231491
2/24/2021,55.13418961
2/25/2021,55.93035126
2/26/2021,54.24755859
3/1/2021,55.56846237
3/2/2021,56.52747345
3/3/2021,56.3465271
3/4/2021,55.27894592
3/5/2021,55.42370605
3/8/2021,55.20656967
3/9/2021,54.17517853
3/10/2021,53.92185211
3/11/2021,54.46469498
3/12/2021,53.50568008
3/15/2021,51.82288361
3/16/2021,51.53336716
3/17/2021,52.18477631
3/18/2021,53.10760117
3/19/2021,50.14008331
3/22/2021,49.03631592
3/23/2021,48.58395386
3/24/2021,48.96393585
3/25/2021,48.98203278
3/26/2021,50.99053192
3/29/2021,51.06290817
3/30/2021,52.65523148
3/31/2021,51.87716675
4/1/2021,51.84097672
4/6/2021,52.70951462
4/7/2021,51.67812729
4/8/2021,50.44769287
4/9/2021,50.55626297
4/12/2021,51.04481506
4/13/2021,52.04001999
4/14/2021,52.38381577
4/15/2021,51.35242081
4/16/2021,52.926651
4/19/2021,51.61273575
4/20/2021,50.7244606
4/21/2021,51.59423065
4/22/2021,50.48388672
4/23/2021,51.02055359
4/26/2021,52.09389114
4/27/2021,51.61273575
4/28/2021,51.55722427
4/29/2021,50.85400009
4/30/2021,50.3543396
5/3/2021,51.68676376
5/4/2021,50.87250519
5/5/2021,53.66688538
5/6/2021,54.40711594
5/7/2021,53.68539047
5/10/2021,54.27757645
5/11/2021,53.259758
5/12/2021,53.2412529
5/13/2021,53.14871979
5/14/2021,52.14940643
5/17/2021,51.70526886
5/18/2021,52.13090134
5/19/2021,51.20561218
5/20/2021,52.35297394
5/21/2021,51.68676376
5/25/2021,51.79779816
5/26/2021,51.55722427
5/27/2021,52.64906693
5/28/2021,53.0191803
5/31/2021,53.0191803
6/1/2021,53.92596436
6/2/2021,53.1857338
6/3/2021,53.50033188
6/4/2021,53.81492996
6/7/2021,53.64838028
6/8/2021,52.31595993
6/9/2021,50.5949173
6/10/2021,50.18779373
6/11/2021,50.6689415
6/14/2021,49.61410904
6/15/2021,49.37353516
6/16/2021,49.74364853
6/17/2021,49.70663834
6/18/2021,47.9115715
6/21/2021,49.20698166
6/22/2021,51.46469116
6/23/2021,50.37284851
6/24/2021,50.50239182
6/25/2021,50.07675552
6/28/2021,50.46537781
6/29/2021,50.83549118
6/30/2021,50.39135361
7/1/2021,51.33515167
7/2/2021,51.22411728
7/5/2021,51.24262238
7/6/2021,49.68813324
7/7/2021,50.5764122
