Date,basf
11/4/2020,36.64102554
11/5/2020,36.98497009
11/6/2020,36.83128738
11/9/2020,40.78299332
11/10/2020,42.09290695
11/11/2020,41.29524612
11/12/2020,40.69517136
11/13/2020,40.98057556
11/16/2020,41.91727066
11/17/2020,42.4148941
11/18/2020,42.9637413
11/19/2020,42.28316879
11/20/2020,42.18803787
11/23/2020,42.72224808
11/24/2020,44.7493248
11/25/2020,44.0614357
11/26/2020,43.95898438
11/27/2020,44.58101273
11/30/2020,44.88105011
12/1/2020,44.72005463
12/2/2020,44.6176033
12/3/2020,44.39074326
12/4/2020,44.66882706
12/7/2020,44.45660782
12/8/2020,45.09326935
12/9/2020,46.42513275
12/10/2020,46.86421204
12/11/2020,46.18364334
12/14/2020,46.76176453
12/15/2020,47.39110947
12/16/2020,46.98130035
12/17/2020,47.49356079
12/18/2020,47.21547318
12/21/2020,46.49099731
12/22/2020,46.72517395
12/23/2020,47.33987808
12/28/2020,47.72773743
12/29/2020,47.6179657
12/30/2020,47.36183548
1/4/2021,47.48624039
1/5/2021,47.12766266
1/6/2021,49.30109787
1/7/2021,50.06216431
1/8/2021,50.18656921
1/11/2021,49.43281937
1/12/2021,49.68894577
1/13/2021,49.78408051
1/14/2021,49.83530426
1/15/2021,49.24255371
1/18/2021,49.38159943
1/19/2021,48.73029327
1/20/2021,49.29377365
1/21/2021,49.27182388
1/22/2021,48.50343323
1/25/2021,47.22279739
1/26/2021,47.74236679
1/27/2021,46.74712753
1/28/2021,47.22279739
1/29/2021,46.71054077
2/1/2021,47.42769623
2/2/2021,47.88140869
2/3/2021,48.41562653
2/4/2021,48.78152084
2/5/2021,48.89128876
2/8/2021,49.29377365
2/9/2021,49.2279129
2/10/2021,49.14009857
2/11/2021,49.08155823
2/12/2021,48.89860535
2/15/2021,49.32304764
2/16/2021,49.52062988
2/17/2021,49.14741898
2/18/2021,49.05228806
2/19/2021,49.76212311
2/22/2021,50.48660278
2/23/2021,49.99629974
2/24/2021,50.78664398
2/25/2021,49.87922287
2/26/2021,49.56454086
3/1/2021,50.55978012
3/2/2021,51.4233017
3/3/2021,52.05996323
3/4/2021,52.01605988
3/5/2021,51.7233429
3/8/2021,53.13570404
3/9/2021,52.52831268
3/10/2021,53.05521393
3/11/2021,52.82835007
3/12/2021,53.12838364
3/15/2021,51.63552094
3/16/2021,51.29157639
3/17/2021,51.78188705
3/18/2021,53.12838364
3/19/2021,51.20376587
3/22/2021,50.91836166
3/23/2021,50.50123978
3/24/2021,51.21108246
3/25/2021,51.5623436
3/26/2021,51.09399414
3/29/2021,51.24766922
3/30/2021,52.60149002
3/31/2021,51.84042358
4/1/2021,51.99410629
4/6/2021,52.86494064
4/7/2021,52.94543457
4/8/2021,52.28681564
4/9/2021,52.31609344
4/12/2021,52.01605988
4/13/2021,52.05996323
4/14/2021,51.92824554
4/15/2021,51.9794693
4/16/2021,53.01861954
4/19/2021,52.51368332
4/20/2021,51.93556213
