model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-3.2894903449629695,-3.2894903449629695,0.017190217971801758,0.01482391357421875,0.2440330982208252,3
TemporalFusionTransformer,-2.888746324593933,-2.888746324593933,0.019346952438354492,0.006356954574584961,36.008094787597656,7
Theta,-1.7070789391267682,-1.7070789391267682,0.023878097534179688,0.026933670043945312,0.003380298614501953,5
RecursiveTabular,-1.6861767045818126,-1.6861767045818126,0.021207094192504883,0.01996326446533203,0.5219230651855469,2
ETS,-1.5512290674857574,-1.5512290674857574,0.01505899429321289,0.014514923095703125,0.003453969955444336,4
SeasonalNaive,-1.5511154101180167,-1.5511154101180167,0.01452493667602539,0.013967275619506836,0.003103971481323242,1
Chronos2,-1.3777464662209538,-1.3777464662209538,1.0464038848876953,0.026876211166381836,0.7149927616119385,6
WeightedEnsemble,-1.0907300798317552,-1.0907300798317552,1.1000189781188965,0.07632949782419018,0.07426341701648198,8
