model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.8787589348175735,-2.8787589348175735,0.031100034713745117,0.02347111701965332,0.557457685470581,3
RecursiveTabular,-2.3838661245387147,-2.3838661245387147,0.018917083740234375,0.02149510383605957,0.7108356952667236,2
SeasonalNaive,-2.126901163067656,-2.126901163067656,0.014487981796264648,0.015173196792602539,0.007665872573852539,1
ETS,-2.126901163067656,-2.126901163067656,0.08968400955200195,0.031577110290527344,0.011136054992675781,4
Theta,-1.785083292872158,-1.785083292872158,0.028234004974365234,0.042437076568603516,0.013000011444091797,5
TemporalFusionTransformer,-0.7421023781007494,-0.7421023781007494,0.02068805694580078,0.0279233455657959,43.47917366027832,7
WeightedEnsemble,-0.6007677198285599,-0.6007677198285599,1.1107046604156494,0.3105826154060196,0.08032662500045262,8
Chronos2,-0.6007677198285599,-0.6007677198285599,1.1104018688201904,0.3104081153869629,0.7682838439941406,6
