model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-3.3499244534231116,-3.3499244534231116,0.01623392105102539,0.014632225036621094,0.27309083938598633,3
TemporalFusionTransformer,-2.952653284263572,-2.952653284263572,0.01982402801513672,0.006295204162597656,31.693089485168457,7
RecursiveTabular,-2.8415759420710045,-2.8415759420710045,0.01288914680480957,0.011931180953979492,0.3892226219177246,2
Theta,-2.5490523426877094,-2.5490523426877094,0.01782393455505371,0.016096115112304688,0.0032668113708496094,5
ETS,-2.458816475033009,-2.458816475033009,0.01712512969970703,0.014188051223754883,0.0034461021423339844,4
SeasonalNaive,-2.458702196930069,-2.458702196930069,0.016592025756835938,0.016499042510986328,0.003245830535888672,1
WeightedEnsemble,-2.386148081977761,-2.386148081977761,0.7612040042877197,0.026423155650263652,0.07480441700317897,8
Chronos2,-2.386148081977761,-2.386148081977761,0.7610220909118652,0.026294946670532227,0.7334742546081543,6
