model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.921412638462616,-2.921412638462616,0.01746201515197754,0.014894962310791016,0.2976539134979248,3
TemporalFusionTransformer,-1.121692382132767,-1.121692382132767,0.02347397804260254,0.01111912727355957,34.71746587753296,7
Theta,-1.075154606045844,-1.075154606045844,2.413844347000122,0.01682877540588379,0.0033750534057617188,5
SeasonalNaive,-0.8124414252229776,-0.8124414252229776,0.016802072525024414,0.01178598403930664,0.0031387805938720703,1
ETS,-0.8124414252229776,-0.8124414252229776,0.033006906509399414,0.016936302185058594,0.0035517215728759766,4
RecursiveTabular,-0.7335417776860247,-0.7335417776860247,0.015611886978149414,0.014984130859375,0.33464908599853516,2
Chronos2,-0.6068073410158945,-0.6068073410158945,0.7517397403717041,0.026686906814575195,0.7190511226654053,6
WeightedEnsemble,-0.513764968692946,-0.513764968692946,0.7861096858978271,0.05711237498326227,0.07396704200073145,8
