model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-4.621468522155628,-4.621468522155628,0.9138460159301758,0.02292609214782715,0.8372318744659424,6
RecursiveTabular,-2.8250366166502237,-2.8250366166502237,0.02104020118713379,0.021181821823120117,0.3640570640563965,2
DirectTabular,-2.353102817503355,-2.353102817503355,0.01914691925048828,0.015031814575195312,0.382343053817749,3
Theta,-0.9976359827885898,-0.9976359827885898,0.04018998146057129,0.014424800872802734,0.0033643245697021484,5
SeasonalNaive,-0.8488626750202907,-0.8488626750202907,0.014223098754882812,0.01465916633605957,0.003536701202392578,1
ETS,-0.8488390028387083,-0.8488390028387083,0.014747142791748047,0.014501094818115234,0.003443002700805664,4
TemporalFusionTransformer,-0.6861787710343834,-0.6861787710343834,0.019970178604125977,0.009685039520263672,44.99371695518494,7
WeightedEnsemble,-0.6858618033029416,-0.6858618033029416,0.060465335845947266,0.024553340394049883,0.07643433299381286,8
