model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-2.3288445121209076,-2.3288445121209076,1.0975532531738281,0.02789783477783203,0.7040765285491943,6
DirectTabular,-0.9014806845580546,-0.9014806845580546,0.030923128128051758,0.014739751815795898,0.2648274898529053,3
Theta,-0.885334522478711,-0.885334522478711,0.027985811233520508,0.014274120330810547,0.0032739639282226562,5
RecursiveTabular,-0.6429102456369187,-0.6429102456369187,0.020307302474975586,0.017956256866455078,0.31064367294311523,2
SeasonalNaive,-0.5894812629976864,-0.5894812629976864,0.014461994171142578,0.014016866683959961,0.003098011016845703,1
ETS,-0.589439555389103,-0.589439555389103,0.024832963943481445,0.01444387435913086,0.0034341812133789062,4
WeightedEnsemble,-0.23944003384553328,-0.23944003384553328,0.019321203231811523,0.02576924441382289,0.07927354198182002,8
TemporalFusionTransformer,-0.23944003384553328,-0.23944003384553328,0.019173145294189453,0.025636911392211914,42.5980269908905,7
