model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-1.7890167881313332,-1.7890167881313332,0.0166170597076416,0.014721870422363281,0.3036980628967285,3
RecursiveTabular,-1.6915987988950367,-1.6915987988950367,0.011476993560791016,0.010500192642211914,0.3646359443664551,2
ETS,-1.648832575941377,-1.648832575941377,0.01438283920288086,0.013014078140258789,0.003484010696411133,4
SeasonalNaive,-1.6487866001512477,-1.6487866001512477,0.016626834869384766,0.012894868850708008,0.0034570693969726562,1
Chronos2,-1.6387703624522085,-1.6387703624522085,0.8196358680725098,0.0247650146484375,0.7769789695739746,6
Theta,-1.621645460173177,-1.621645460173177,0.01544189453125,0.016787052154541016,0.0034041404724121094,5
WeightedEnsemble,-0.17839236936177494,-0.17839236936177494,0.019303083419799805,0.009723909315653145,0.08005245801177807,8
TemporalFusionTransformer,-0.17839236936177494,-0.17839236936177494,0.019158124923706055,0.009553909301757812,53.37166428565979,7
