model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
TemporalFusionTransformer,-1.1397115818742007,-1.1397115818742007,0.055011749267578125,0.35815882682800293,43.717063188552856,7
Chronos2,-1.139175714181269,-1.139175714181269,1.934272050857544,0.023216962814331055,0.75736403465271,6
DirectTabular,-0.9864667350945069,-0.9864667350945069,0.07466292381286621,0.01614093780517578,0.3555479049682617,3
Theta,-0.8242896548878316,-0.8242896548878316,0.042948246002197266,0.037428855895996094,0.003712177276611328,5
RecursiveTabular,-0.4745601009515658,-0.4745601009515658,0.03207993507385254,0.013621807098388672,0.4373133182525635,2
ETS,-0.43852444885558395,-0.43852444885558395,0.17093920707702637,0.014050722122192383,0.003658294677734375,4
SeasonalNaive,-0.438524440177029,-0.438524440177029,0.08919382095336914,0.014082908630371094,0.003445148468017578,1
WeightedEnsemble,-0.436625103969893,-0.436625103969893,0.1657850742340088,0.0693697796377819,0.20953245801501907,8
