model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
TemporalFusionTransformer,-0.9293167810097229,-0.9293167810097229,0.020212173461914062,0.024498939514160156,53.322962045669556,7
Theta,-0.5101615577486209,-0.5101615577486209,0.028239011764526367,0.014561176300048828,0.003433704376220703,5
Chronos2,-0.5098932319649048,-0.5098932319649048,1.1489291191101074,0.15781211853027344,0.8083970546722412,6
DirectTabular,-0.5044913903916312,-0.5044913903916312,0.026767730712890625,0.015312671661376953,0.28826045989990234,3
RecursiveTabular,-0.34904956659762243,-0.34904956659762243,0.016399860382080078,0.01521921157836914,0.36601972579956055,2
ETS,-0.3111783469753929,-0.3111783469753929,0.027332782745361328,0.01439213752746582,0.0034749507904052734,4
WeightedEnsemble,-0.3111319972704497,-0.3111319972704497,0.025866270065307617,0.014328367775306106,0.08931129102711566,8
SeasonalNaive,-0.3111319972704497,-0.3111319972704497,0.025716304779052734,0.014184951782226562,0.003796100616455078,1
