model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-3.3200472416966917,-3.3200472416966917,0.016558170318603516,0.014903068542480469,0.23950886726379395,3
RecursiveTabular,-1.9399270232331276,-1.9399270232331276,0.01807260513305664,0.017080068588256836,0.35962390899658203,2
ETS,-1.2430637498988755,-1.2430637498988755,0.01729893684387207,0.01446080207824707,0.003407001495361328,4
SeasonalNaive,-1.2429871381058928,-1.2429871381058928,0.016788959503173828,0.014082908630371094,0.003258943557739258,1
Theta,-0.9691076667096784,-0.9691076667096784,0.01814103126525879,0.014302968978881836,0.003287076950073242,5
Chronos2,-0.7106097407522907,-0.7106097407522907,0.7603201866149902,0.021933794021606445,0.7095773220062256,6
TemporalFusionTransformer,-0.37709362452195677,-0.37709362452195677,0.02011895179748535,0.008136987686157227,43.446635007858276,7
WeightedEnsemble,-0.3309723263484025,-0.3309723263484025,0.8159880638122559,0.059190367319388315,0.07471799998893403,8
