model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
SeasonalNaive,-2.4911824104552145,-2.4911824104552145,0.014480113983154297,0.011467933654785156,0.003427267074584961,1
RecursiveTabular,-2.4363577091942883,-2.4363577091942883,0.011121034622192383,0.009501934051513672,0.3404409885406494,2
ETS,-1.6861352331468296,-1.6861352331468296,0.015280961990356445,0.014316797256469727,0.0033440589904785156,4
Theta,-1.6062993725155055,-1.6062993725155055,0.01619887351989746,0.01417088508605957,0.0032732486724853516,5
Chronos2,-1.5617372654738284,-1.5617372654738284,2.917785882949829,0.024585962295532227,0.6961243152618408,6
DirectTabular,-0.9305527508473372,-0.9305527508473372,0.01774907112121582,0.014464855194091797,0.29712700843811035,3
WeightedEnsemble,-0.8208331246881544,-0.8208331246881544,0.021717071533203125,0.0061782604025211185,0.07548712499556132,8
TemporalFusionTransformer,-0.8208331246881544,-0.8208331246881544,0.02155017852783203,0.00604701042175293,29.146517992019653,7
