model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
SeasonalNaive,-1.9417152939984161,-1.9417152939984161,0.014837026596069336,0.013998746871948242,0.0032172203063964844,1
ETS,-1.941506495391344,-1.941506495391344,0.015007972717285156,0.014415264129638672,0.0033495426177978516,4
RecursiveTabular,-1.842120311904534,-1.842120311904534,0.01919388771057129,0.01711416244506836,0.33530688285827637,2
Theta,-1.5461673773256277,-1.5461673773256277,0.03916811943054199,0.014334917068481445,0.0032961368560791016,5
TemporalFusionTransformer,-0.9564994373642651,-0.9564994373642651,0.02169322967529297,0.011123180389404297,34.63051199913025,7
Chronos2,-0.891794054253459,-0.891794054253459,0.757965087890625,0.02415776252746582,0.7132322788238525,6
DirectTabular,-0.6775065611647269,-0.6775065611647269,0.017468929290771484,0.014660120010375977,0.27246594429016113,3
WeightedEnsemble,-0.18332799193424218,-0.18332799193424218,0.8321981430053711,0.08255223950254731,0.07921995900687762,8
