model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
TemporalFusionTransformer,-1.4166868319829276,-1.4166868319829276,0.02127528190612793,0.0250701904296875,53.5609667301178,7
Chronos2,-1.1032237404383165,-1.1032237404383165,0.8182358741760254,0.030661821365356445,0.7432544231414795,6
DirectTabular,-0.9444007511039231,-0.9444007511039231,0.05304408073425293,0.015731096267700195,0.2700629234313965,3
SeasonalNaive,-0.8294875388309796,-0.8294875388309796,0.027579069137573242,0.015816926956176758,0.004175901412963867,1
ETS,-0.82943643688361,-0.82943643688361,0.14817285537719727,0.015102148056030273,0.0039288997650146484,4
RecursiveTabular,-0.6985903180411032,-0.6985903180411032,0.028033971786499023,0.023846864700317383,0.3317601680755615,2
Theta,-0.6097660394225793,-0.6097660394225793,0.17503905296325684,0.01440286636352539,0.003460407257080078,5
WeightedEnsemble,-0.42477194148563086,-0.42477194148563086,0.40505266189575195,0.06985130938119255,0.08137412500218488,8
