model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.632123186246751,-2.632123186246751,0.020156145095825195,0.015511035919189453,0.29130101203918457,3
RecursiveTabular,-1.7566852370741175,-1.7566852370741175,0.019917964935302734,0.020531892776489258,0.4300239086151123,2
SeasonalNaive,-1.660596473837813,-1.660596473837813,0.013223886489868164,0.014248132705688477,0.0034978389739990234,1
ETS,-1.660596473837813,-1.660596473837813,0.01417088508605957,0.014655113220214844,0.00396275520324707,4
Theta,-1.342689550645071,-1.342689550645071,0.03974580764770508,0.013010025024414062,0.003876209259033203,5
Chronos2,-0.5346992192555934,-0.5346992192555934,0.7869281768798828,0.19644498825073242,0.7337021827697754,6
TemporalFusionTransformer,-0.44215002942412046,-0.44215002942412046,0.025665998458862305,0.01067972183227539,43.29849314689636,7
WeightedEnsemble,-0.35655608968712077,-0.35655608968712077,0.8673758506774902,0.23575955632259138,0.07686629198724404,8
