model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
ETS,-4.711041031205294,-4.711041031205294,0.01718878746032715,0.016941070556640625,0.0034918785095214844,4
SeasonalNaive,-4.710901922665021,-4.710901922665021,0.01465296745300293,0.026900768280029297,0.0032105445861816406,1
Theta,-4.422549204659347,-4.422549204659347,0.01825094223022461,0.016875028610229492,0.0033299922943115234,5
DirectTabular,-3.0745368771085055,-3.0745368771085055,0.01691579818725586,0.014840841293334961,0.258878231048584,3
Chronos2,-2.536105391902364,-2.536105391902364,0.7464590072631836,0.03032398223876953,0.7039940357208252,6
TemporalFusionTransformer,-1.650835840439435,-1.650835840439435,0.01951122283935547,0.009793758392333984,45.90767025947571,7
WeightedEnsemble,-0.9061394448110005,-0.9061394448110005,0.02121901512145996,0.01994581799954176,0.07414829198387451,8
RecursiveTabular,-0.9061394448110005,-0.9061394448110005,0.021028995513916016,0.01981377601623535,0.41949939727783203,2
