model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-3.0870729435321804,-3.0870729435321804,0.9120039939880371,0.022326946258544922,0.7798950672149658,6
DirectTabular,-1.8425483849551934,-1.8425483849551934,0.017752885818481445,0.014925241470336914,0.42311859130859375,3
RecursiveTabular,-1.650015123616648,-1.650015123616648,0.019147872924804688,0.018503904342651367,0.44327425956726074,2
Theta,-1.2710129406859514,-1.2710129406859514,0.026433944702148438,0.0365750789642334,0.003592252731323242,5
TemporalFusionTransformer,-1.1580521729991196,-1.1580521729991196,0.019711017608642578,0.012798786163330078,35.5129873752594,7
SeasonalNaive,-0.9411540951455836,-0.9411540951455836,0.02545309066772461,0.012330055236816406,0.0033521652221679688,1
ETS,-0.9411540890354784,-0.9411540890354784,0.026218891143798828,0.014503955841064453,0.003913164138793945,4
WeightedEnsemble,-0.44478601040052124,-0.44478601040052124,0.07089376449584961,0.06658452629926614,0.08125550000113435,8
