model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.279652922169981,-2.279652922169981,0.018426179885864258,0.01478886604309082,0.2761392593383789,3
Theta,-0.7547198035678638,-0.7547198035678638,0.013844013214111328,0.014195919036865234,0.0032644271850585938,5
TemporalFusionTransformer,-0.58921200267628,-0.58921200267628,0.019470930099487305,0.00775599479675293,36.494128942489624,7
SeasonalNaive,-0.5873388474702229,-0.5873388474702229,0.014388084411621094,0.026654958724975586,0.0031871795654296875,1
ETS,-0.5873388407885837,-0.5873388407885837,0.027197837829589844,0.014352083206176758,0.0034089088439941406,4
RecursiveTabular,-0.44974732821863767,-0.44974732821863767,0.01634502410888672,0.01495218276977539,0.4182097911834717,2
Chronos2,-0.43878936922280026,-0.43878936922280026,1.0219628810882568,0.023381948471069336,0.8130528926849365,6
WeightedEnsemble,-0.35524288852897773,-0.35524288852897773,1.085646629333496,0.061238751251949,0.08427733299322426,8
