model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-3.6723674609828176,-3.6723674609828176,0.01832413673400879,0.015228986740112305,0.4844212532043457,3
RecursiveTabular,-3.4238217375631823,-3.4238217375631823,0.021949052810668945,0.020030975341796875,0.2534363269805908,2
SeasonalNaive,-3.269451579939427,-3.269451579939427,0.017652034759521484,0.02720808982849121,0.0030918121337890625,1
ETS,-3.2693676163432444,-3.2693676163432444,0.01744675636291504,0.01720595359802246,0.0035600662231445312,4
Theta,-2.984494710707824,-2.984494710707824,0.018187761306762695,0.016916990280151367,0.0035278797149658203,5
Chronos2,-1.83643516509262,-1.83643516509262,0.7110261917114258,0.022073984146118164,0.766232967376709,6
TemporalFusionTransformer,-1.442461407170333,-1.442461407170333,0.021445274353027344,0.004658222198486328,35.8467276096344,7
WeightedEnsemble,-1.1053387118336095,-1.1053387118336095,0.7328183650970459,0.027076040336396545,0.07386329100700095,8
