model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-3.112076003648892,-3.112076003648892,0.017566919326782227,0.015052080154418945,0.2748889923095703,3
RecursiveTabular,-2.443057104894063,-2.443057104894063,0.016109943389892578,0.013562202453613281,0.3614685535430908,2
ETS,-2.424913819444044,-2.424913819444044,0.027724027633666992,0.014402151107788086,0.0034401416778564453,4
SeasonalNaive,-2.4248020765117038,-2.4248020765117038,0.02703118324279785,0.013752222061157227,0.0033054351806640625,1
Theta,-2.083821021851354,-2.083821021851354,0.015400886535644531,0.01429891586303711,0.0033111572265625,5
TemporalFusionTransformer,-0.9216948949156719,-0.9216948949156719,0.01982426643371582,0.0095977783203125,33.983439207077026,7
WeightedEnsemble,-0.7787220755527401,-0.7787220755527401,0.8210568428039551,0.025582574744476005,0.07467604099656455,8
Chronos2,-0.7787220755527401,-0.7787220755527401,0.8208460807800293,0.025454282760620117,0.8105497360229492,6
