model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-2.1402842742464547,-2.1402842742464547,0.793510913848877,0.02262115478515625,0.7730317115783691,6
DirectTabular,-1.7128134397905905,-1.7128134397905905,0.017082929611206055,0.014996051788330078,0.25415587425231934,3
TemporalFusionTransformer,-1.576137646152289,-1.576137646152289,0.020517826080322266,0.01118779182434082,37.91718339920044,7
RecursiveTabular,-1.4003362429178088,-1.4003362429178088,0.02242112159729004,0.02194666862487793,0.35530734062194824,2
ETS,-0.9061351994589759,-0.9061351994589759,0.015091180801391602,0.01464080810546875,0.0034410953521728516,4
SeasonalNaive,-0.906054318600816,-0.906054318600816,0.014304876327514648,0.01417231559753418,0.0033156871795654297,1
Theta,-0.82837446223098,-0.82837446223098,0.02669215202331543,0.012470722198486328,0.0033655166625976562,5
WeightedEnsemble,-0.14135178758538905,-0.14135178758538905,0.8900432586669922,0.10194097110070288,0.07986045800498687,8
