model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.1711452838941754,-2.1711452838941754,0.017019987106323242,0.014651060104370117,0.3522777557373047,3
SeasonalNaive,-1.048822201153839,-1.048822201153839,0.014271974563598633,0.014048099517822266,0.0033638477325439453,1
ETS,-1.048822201153839,-1.048822201153839,0.014693975448608398,0.01445460319519043,0.0033702850341796875,4
Theta,-0.9215807354591848,-0.9215807354591848,0.04083132743835449,0.014600992202758789,0.003325223922729492,5
Chronos2,-0.6061686367818436,-0.6061686367818436,0.7745373249053955,0.022767305374145508,0.8017978668212891,6
RecursiveTabular,-0.5332870077315601,-0.5332870077315601,0.01923203468322754,0.018795013427734375,0.4123098850250244,2
TemporalFusionTransformer,-0.37554350329873615,-0.37554350329873615,0.019487857818603516,0.006787776947021484,50.18926024436951,7
WeightedEnsemble,-0.3370953862444866,-0.3370953862444866,0.8353695869445801,0.044702116516418755,0.07592383300652727,8
