model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-2.0356609902134575,-2.0356609902134575,0.2516930103302002,0.01795673370361328,0.37811756134033203,3
Chronos2,-2.0189751068082438,-2.0189751068082438,1.7910683155059814,0.6796309947967529,0.7832050323486328,6
TemporalFusionTransformer,-0.8457737211571936,-0.8457737211571936,0.06421184539794922,0.12197208404541016,52.363908767700195,7
RecursiveTabular,-0.7845160080893733,-0.7845160080893733,0.0671696662902832,0.018965959548950195,2.285445213317871,2
Theta,-0.5643051607240103,-0.5643051607240103,0.2370288372039795,0.13034987449645996,0.005559444427490234,5
SeasonalNaive,-0.3093424445371188,-0.3093424445371188,0.0688619613647461,0.027052879333496094,0.005502223968505859,1
ETS,-0.3093269581827662,-0.3093269581827662,0.5058403015136719,0.05751490592956543,0.010392189025878906,4
WeightedEnsemble,-0.20661459429827186,-0.20661459429827186,0.8914189338684082,0.21912518324097618,0.19249787498847581,8
