model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
SeasonalNaive,-4.758735600964963,-4.758735600964963,0.03932976722717285,0.025272130966186523,0.003325939178466797,1
ETS,-4.639781743079117,-4.639781743079117,0.026565074920654297,0.03955793380737305,0.0035140514373779297,4
Theta,-4.141683110197336,-4.141683110197336,0.028374910354614258,0.026871919631958008,0.0033240318298339844,5
RecursiveTabular,-4.13671925684685,-4.13671925684685,0.02118706703186035,0.01920604705810547,0.28541994094848633,2
Chronos2,-3.490994457558359,-3.490994457558359,1.0938670635223389,0.026696205139160156,0.7187337875366211,6
DirectTabular,-2.380598744268989,-2.380598744268989,0.028712987899780273,0.01482391357421875,0.25760412216186523,3
WeightedEnsemble,-1.1765004844413287,-1.1765004844413287,0.019296884536743164,0.03205814032116905,0.08180262500536628,8
TemporalFusionTransformer,-1.1765004844413287,-1.1765004844413287,0.0191500186920166,0.03188014030456543,53.472100019454956,7
